wavenumbers,absorbance
7.0,2.3853426398372413e-77
7.016,5.4274812549610324e-80
7.032,1.3591893216605315e-80
7.048,0.0
7.064,1.5907433861458877e-10
7.08,7.529791747036694e-10
7.096,1.312683801413434e-07
7.112,9.811010116943211e-07
7.128,1.1417612600311273e-06
7.144,1.8508962752759712e-07
7.16,1.0108959750875456e-08
7.176,3.364161700928286e-10
7.192,0.0
7.208,0.0
7.224,0.0
7.24,0.0
7.256,1.3730060237954313e-07
7.272,5.852640293181259e-07
7.288,8.33635283572518e-05
7.304,4.5591662821486946e-07
7.32,1.211710684561486e-07
7.336,0.0
7.352,0.0
7.368,0.0
7.384,0.0
7.4,0.0
7.416,0.0
7.432,0.0
7.448,0.0
7.464,0.0
7.48,8.261134337400487e-08
7.496,3.757260779483382e-07
7.5120000000000005,6.437894191058166e-05
7.5280000000000005,0.00021996263983403342
7.5440000000000005,0.00872118614268452
7.5600000000000005,0.0015223611483772548
7.5760000000000005,4.495724171079327e-05
7.592,2.4571589821313266e-06
7.608,0.0
7.624,0.0
7.64,0.0
7.656,0.0
7.672,0.0
7.688,0.0
7.704,0.0
7.72,0.0
7.736,0.0
7.752,0.0
7.768,0.0
7.784,0.0
7.8,0.0
7.816,0.0
7.832,0.0
7.848,1.604410624547363e-10
7.864,6.028478050082416e-10
7.88,1.4190326154462261e-07
7.896,3.708079783688615e-07
7.912,4.590341322805318e-05
7.928,4.236528876200613e-06
7.944,1.2567714035446587e-07
7.96,5.739021998779422e-09
7.976,4.3203645637813936e-11
7.992,0.0
8.008,0.0
8.024000000000001,0.0
8.04,0.0
8.056000000000001,0.0
8.072,2.9719983429015915e-07
8.088000000000001,2.6540788203601876e-06
8.104,2.6540788203601876e-06
8.120000000000001,2.9719983429015915e-07
8.136,0.0
8.152000000000001,0.0
8.168,0.0
8.184,0.0
8.2,0.0
8.216,0.0
8.232,0.0
8.248,0.0
8.264,0.0
8.28,0.0
8.296,0.0
8.312,9.204202112785361e-08
8.328,3.583199564025911e-07
8.344,0.0001716450715613073
8.36,0.0001393717093854154
8.376,0.004018074452163399
8.392,0.00043261097672806116
8.408,0.00011098057740643348
8.424,5.484422875125156e-06
8.44,0.0
8.456,0.0
8.472,0.0
8.488,0.0
8.504,0.0
8.52,0.0
8.536,0.0
8.552,0.0
8.568,0.0
8.584,0.0
8.6,0.0
8.616,0.0
8.632,0.0
8.648,5.098644582210848e-10
8.664,7.204329700887383e-09
8.68,2.200662933852062e-07
8.696,2.928241329604687e-06
8.712,1.2086259685971588e-06
8.728,3.8534745957675166e-07
8.744,1.5431864183556396e-08
8.76,6.685533312280127e-10
8.776,1.6324536563444614e-11
8.792,0.0
8.808,0.0
8.824,0.0
8.84,0.0
8.856,0.0
8.872,1.8709734440389742e-07
8.888,6.667273514362067e-07
8.904,4.753418463195785e-05
8.92,1.1009177893096021e-06
8.936,2.4028350989271397e-07
8.952,0.0
8.968,0.0
8.984,0.0
9.0,0.0
9.016,0.0
9.032,0.0
9.048,0.0
9.064,0.0
9.08,0.0
9.096,0.0
9.112,0.0
9.128,0.0
9.144,1.0152654242283574e-07
9.16,3.4928181626437845e-07
9.176,1.56447654199835e-05
9.192,0.00010530741342414926
9.208,0.000765082824936057
9.224,0.0018045032302472235
9.24,0.0014138471243964562
9.256,1.758846244650297e-05
9.272,3.907695300869318e-06
9.288,0.0
9.304,0.0
9.32,0.0
9.336,0.0
9.352,0.0
9.368,0.0
9.384,0.0
9.4,0.0
9.416,0.0
9.432,4.5048787773197047e-10
9.448,3.131995551024441e-09
9.464,1.7827474869555628e-07
9.48,7.871510789246606e-07
9.496,1.5279296873660218e-05
9.512,1.7809258879320384e-06
9.528,1.620832618213266e-07
9.544,1.0210364155872919e-08
9.56,9.207351554491338e-11
9.576,0.0
9.592,0.0
9.608,0.0
9.624,0.0
9.64,0.0
9.656,0.0
9.672,0.0
9.688,3.643086114759154e-07
9.704,2.186721942574873e-06
9.72,1.0405570621144528e-05
9.736,6.019324312275472e-07
9.752,0.0
9.768,0.0
9.784,0.0
9.8,0.0
9.815999999999999,0.0
9.832,0.0
9.847999999999999,0.0
9.864,0.0
9.879999999999999,0.0
9.896,0.0
9.911999999999999,0.0
9.928,0.0
9.943999999999999,0.0
9.96,0.0
9.975999999999999,0.0
9.992,3.4383999555266986e-07
10.008,6.076937484478957e-06
10.024000000000001,8.670277232013342e-05
10.04,0.0003609464535184325
10.056000000000001,0.05362198815290853
10.072,0.00044103702432050674
10.088000000000001,0.00013936511170391027
10.104,8.131523840996477e-06
10.120000000000001,0.0
10.136,0.0
10.152000000000001,0.0
10.168,0.0
10.184000000000001,0.0
10.2,0.0
10.216000000000001,4.0471302507808717e-10
10.232,1.8918645340139467e-09
10.248000000000001,1.7165597323298567e-07
10.264,3.97953608154799e-07
10.280000000000001,1.0920495573090672e-05
10.296,1.206491711328438e-06
10.312000000000001,1.672392049261362e-06
10.328,7.047265871568454e-08
10.344,1.1970586218345806e-09
