wavenumbers,absorbance
7.0,1.2300446548808392e-72
7.016,5.071081490381453e-75
7.032,1.2717019221836458e-75
7.048,5.655256284582366e-76
7.064,0.0
7.08,0.0
7.096,0.0
7.112,8.652974596185552e-06
7.128,2.5025364759326457e-05
7.144,0.0002768027754460345
7.16,0.00015505045909403918
7.176,3.5836161134518015e-05
7.192,0.0003908773036457301
7.208,0.0006770676942753727
7.224,0.012490436134438624
7.24,0.002239288470903075
7.256,0.0003860968623855187
7.272,0.00015359961721661774
7.288,0.0
7.304,0.0
7.32,0.0
7.336,0.0
7.352,0.0
7.368,0.0
7.384,0.0
7.4,0.0
7.416,0.0
7.432,0.0
7.448,0.0
7.464,0.0
7.48,0.0
7.496,0.0
7.5120000000000005,0.0
7.5280000000000005,0.0
7.5440000000000005,0.0
7.5600000000000005,0.0
7.5760000000000005,1.4276538333790657e-07
7.592,3.223216568342511e-07
7.608,1.3001717165205961e-06
7.624,0.00022652368478471576
7.64,1.237095029503175e-06
7.656,3.1437414106359774e-07
7.672,1.4040708740954492e-07
7.688,0.0
7.704,0.0
7.72,0.0
7.736,0.0
7.752,0.0
7.768,0.0
7.784,0.0
7.8,0.0
7.816,0.0
7.832,0.0
7.848,0.0
7.864,0.0
7.88,0.0
7.896,0.0
7.912,0.0
7.928,0.0
7.944,0.0
7.96,0.0
7.976,0.0
7.992,0.0
8.008,0.0
8.024000000000001,0.0
8.04,0.0
8.056000000000001,0.0
8.072,0.0
8.088000000000001,0.0
8.104,0.0
8.120000000000001,0.0
8.136,0.0
8.152000000000001,0.0
8.168,0.0
8.184,0.0
8.2,0.0
8.216,0.0
8.232,0.0
8.248,0.0
8.264,0.0
8.28,0.0
8.296,0.0
8.312,0.0
8.328,0.0
8.344,0.0
8.36,0.0
8.376,0.0
8.392,0.0
8.408,0.0
8.424,0.0
8.44,0.0
8.456,0.0
8.472,0.0
8.488,0.0
8.504,0.0
8.52,0.0
8.536,0.0
8.552,0.0
8.568,0.0
8.584,0.0
8.6,0.0
8.616,0.0
8.632,0.0
8.648,0.0
8.664,0.0
8.68,0.0
8.696,0.0
8.712,0.0
8.728,0.0
8.744,0.0
8.76,0.0
8.776,0.0
8.792,0.0
8.808,0.0
8.824,0.0
8.84,0.0
8.856,0.0
8.872,0.0
8.888,0.0
8.904,0.0
8.92,0.0
8.936,0.0
8.952,0.0
8.968,0.0
8.984,0.0
9.0,0.0
9.016,0.0
9.032,0.0
9.048,0.0
9.064,0.0
9.08,0.0
9.096,0.0
9.112,0.0
9.128,0.0
9.144,0.0
9.16,0.0
9.176,0.0
9.192,0.0
9.208,0.0
9.224,0.0
9.24,0.0
9.256,0.0
9.272,0.0
9.288,0.0
9.304,0.0
9.32,0.0
9.336,0.0
9.352,0.0
9.368,0.0
9.384,0.0
9.4,0.0
9.416,0.0
9.432,0.0
9.448,0.0
9.464,0.0
9.48,0.0
9.496,0.0
9.512,0.0
9.528,0.0
9.544,0.0
9.56,0.0
9.576,0.0
9.592,0.0
9.608,0.0
9.624,0.0
9.64,0.0
9.656,0.0
9.672,0.0
9.688,0.0
9.704,0.0
9.72,0.0
9.736,0.0
9.752,0.0
9.768,0.0
9.784,0.0
9.8,0.0
9.815999999999999,4.054402670955315e-05
9.832,0.0001185576318010002
9.847999999999999,0.0013910217991562064
9.864,0.0006591591681191099
9.879999999999999,9.234223083539304e-05
9.896,4.164635566295667e-05
9.911999999999999,1.854298523673715e-05
9.928,0.00015696850431163117
9.943999999999999,0.0001819702626521176
9.96,1.949209644006743e-05
9.975999999999999,6.954440001336965e-06
9.992,0.0011252990175150321
10.008,0.004549252450335851
10.024000000000001,1.6177761247908184
10.04,0.004327931114566916
10.056000000000001,0.0010975326984471556
10.072,0.0
10.088000000000001,0.0
10.104,0.0
10.120000000000001,0.0
10.136,0.0
10.152000000000001,0.0
10.168,0.0
10.184000000000001,0.0
10.2,0.0
10.216000000000001,0.0
10.232,0.0
10.248000000000001,0.0
10.264,0.0
10.280000000000001,0.0
10.296,0.0
10.312000000000001,0.0
10.328,0.0
10.344,0.0
10.36,0.0
10.376,0.0
10.392,0.0
10.408,0.0
10.424,0.0
10.44,0.0
10.456,3.3494133521254633e-07
10.472,1.2963456084375434e-06
10.488,0.0003116449681380932
10.504,1.468377487199347e-06
10.52,3.5652573851522063e-07
10.536,0.0
10.552,0.0
10.568,0.0
10.584,0.0
10.6,0.0
10.616,0.0
10.632,0.0
10.648,0.0
10.664,0.0
10.68,0.0
10.696,0.0
10.712,0.0
10.728,0.0
10.744,0.0
10.76,0.0
10.776,0.0
10.792,0.0
10.808,0.0
10.824,2.54937682413264e-08
10.84,1.396969984944611e-07
10.856,1.144324185094752e-06
10.872,4.9087330094732854e-08
10.888,1.5231762618915282e-08
10.904,0.0
10.92,0.0
10.936,0.0
10.952,5.655256699091482e-76
10.968,1.271702131627392e-75
10.984,5.071084807058587e-75
11.0,1.2299792525513192e-72
