wavenumbers,absorbance
7.0,2.315879749810599e-72
7.016,3.0885830825313227e-74
7.032,9.596422682422291e-06
7.048,1.4100976892776445e-05
7.064,2.2718107785132258e-05
7.08,4.253955781822477e-05
7.096,0.00010653693793792875
7.112,0.0006044475918154636
7.128,0.0032125344713800027
7.144,0.00019053328390775999
7.16,6.620535567099311e-05
7.176,4.292534661909897e-05
7.192,6.787549316298369e-05
7.208,0.00210769623465647
7.224,0.0004886165380835697
7.24,0.0005720004361436012
7.256,0.0009733333505470788
7.272,0.0026567822414387352
7.288,0.010148159024096253
7.304,0.236625816353577
7.32,0.00580616322589235
7.336,0.001656835836870354
7.352,0.0007707325314345125
7.368,0.0004437167117346221
7.384,0.0002861078351711982
7.4,0.0
7.416,0.0
7.432,1.2013592576666327e-05
7.448,1.8035062928259025e-05
7.464,3.0043186167146515e-05
7.48,5.969201603819055e-05
7.496,0.00017096146027985445
7.5120000000000005,0.0017383602086670162
7.5280000000000005,0.0010776366890336282
7.5440000000000005,0.00014933545752743828
7.5600000000000005,6.217443876982464e-05
7.5760000000000005,4.555169866531194e-05
7.592,8.114350436892486e-05
7.608,0.002314810250733324
7.624,0.00043239886355862556
7.64,0.0005194992155693028
7.656,0.0008735434316747229
7.672,0.0019622272764355316
7.688,0.0065243525283348175
7.704,0.1483008368087747
7.72,0.01345419314331481
7.736,0.002670030635242521
7.752,0.0011031433196297573
7.768,0.0005988389610418661
7.784,0.00037295538059936643
7.8,0.00025529464540152155
7.816,0.0
7.832,1.4970616306942965e-05
7.848,2.3021860428442676e-05
7.864,3.9861377855115107e-05
7.88,8.512515072230112e-05
7.896,0.00029253588892823453
7.912,0.010014340968543058
7.928,0.000561977358559408
7.944,0.00012400977260125
7.96,6.153130293255701e-05
7.976,6.278940857916333e-05
7.992,0.0010709616683776046
8.008,0.001730955982832008
8.024000000000001,0.00042697847856476405
8.04,0.0004988398217304285
8.056000000000001,0.0007980773469587587
8.072,0.0015963183664825925
8.088000000000001,0.00940388281485032
8.104,0.029970117197553648
8.120000000000001,0.04544187386255739
8.136,0.004582867865765261
8.152000000000001,0.0016098889002107196
8.168,0.0008127172906894662
8.184,0.0004859344553245294
8.2,0.00032391011197761355
8.216,0.0
8.232,1.8485947281821865e-05
8.248,2.921339476326614e-05
8.264,5.292358723071474e-05
8.28,0.00012424498750152592
8.296,0.0005535431443308306
8.312,0.016823567721991412
8.328,0.00035805027663164197
8.344,0.00010991323670698458
8.36,9.189156891890822e-05
8.376,0.0002413118988803359
8.392,8.476569366513409e-05
8.408,0.0015766425480323808
8.424,0.0001313305689289507
8.44,0.0004797087522754396
8.456,0.000733523864188547
8.472,0.0013499972763290626
8.488,0.005386367172928399
8.504,0.013114620393730967
8.52,0.4486525241184183
8.536,0.008671156198135997
8.552,0.0024052801865070915
8.568,0.001107456395755222
8.584,0.0006307670490031507
8.6,0.000407833686201948
8.616,1.5475977799848732e-05
8.632,2.2914708700340683e-05
8.648,3.735616719805316e-05
8.664,7.212370909777925e-05
8.68,0.00018819184477897986
8.696,0.0012681277581719373
8.712,0.002939163568341559
8.728,0.0002632331691451276
8.744,0.0001786408736684914
8.76,0.0001264531347365193
8.776,5.260241430061301e-05
8.792,7.977888980917379e-05
8.808,0.0014655399699319085
8.824,0.00015095538761758983
8.84,0.00046549384711545746
8.856,0.0006832891982679815
8.872,0.0011803825280419522
8.888,0.0029354114714492618
8.904,0.007940486552286966
8.92,0.16441525566046294
8.936,0.019847173020055356
8.952,0.0037738872486617115
8.968,0.0015402607945893
8.984,0.0008313377774129381
9.0,0.000516281093697678
9.016,0.00037126879911670766
9.032,2.8231522107769804e-05
9.048,4.8551666213495825e-05
9.064,9.858781114436254e-05
9.08,0.0002991473811122933
9.096,0.004322733022773451
9.112,0.0011647074037008328
9.128,0.0005013112701690772
9.144,0.00012027689988089883
9.16,5.617170822868633e-05
9.176,4.669002417015477e-05
9.192,8.075894526601526e-05
9.208,0.001372471445237024
9.224,0.00017110267735213165
9.24,0.0004494850223811574
9.256,0.0006373196625385066
9.272,0.0010452408190945077
9.288,0.002183222975440561
9.304,0.00645354782034619
9.32,0.03632565862740643
9.336,0.0674071035834652
9.352,0.0062870635117372635
9.368,0.002175750401155627
9.384,0.001091534952920941
9.4,0.0006507193338237412
9.416,0.0004553551735188068
9.432,3.603237247914735e-05
9.448,6.328226402841592e-05
9.464,0.00013911400070553388
9.48,0.0005209236924462623
9.496,0.0364439945832587
9.512,0.0024993821702303963
9.528,0.0001805541976405231
9.544,7.825620683168252e-05
9.56,4.960036549964106e-05
9.576,4.5651037974276366e-05
9.592,6.682435198973744e-05
9.608,0.0012983664256549976
9.624,0.00019470976128422622
9.64,4.4378364764836785e-05
9.656,0.000600611767096069
9.672,0.0009433232900908455
9.688,0.0017806989218824613
9.704,0.014108847267867845
9.72,0.016174889375965437
9.736,0.7047252138992808
9.752,0.011710700444788355
9.768,0.0031875390987135405
9.784,0.001457770826980216
9.8,0.0008278167155421576
9.815999999999999,0.0005623814137927019
9.832,4.5219538601230126e-05
9.847999999999999,8.368909690495517e-05
9.864,0.0002044227351112628
9.879999999999999,0.0010606206262022382
9.896,0.00979907759756939
9.911999999999999,0.0004220440776102151
9.928,0.00013316853868362122
9.943999999999999,6.778561807750725e-05
9.96,4.6439672688297786e-05
9.975999999999999,4.5212722607240524e-05
9.992,6.848239066202518e-05
10.008,0.001239287716687784
10.024000000000001,0.00021837109602636893
10.04,4.7133260431299306e-05
10.056000000000001,0.0005647525406158907
10.072,0.000854929718341762
10.088000000000001,0.0015029840094736003
10.104,0.0055616562675474155
10.120000000000001,0.009517297463454092
10.136,0.1858277463889601
10.152000000000001,0.026200711129788903
10.168,0.0048546654169800505
10.184000000000001,0.0019680324102297727
10.2,0.001076479671611284
10.216000000000001,0.0006909945062290112
10.232,5.829430340164449e-05
10.248000000000001,0.0001176453720165921
10.264,0.00038391534055048
10.280000000000001,0.0027636384359057426
10.296,0.002389343074084268
10.312000000000001,0.00028985121295171826
10.328,0.00011040932946150348
10.344,6.108372205363465e-05
10.36,4.422023627798536e-05
10.376,4.43298846701572e-05
10.392,7.096051817365658e-05
10.408,0.0011914596596449133
10.424,0.00024264940866053198
10.44,4.988347878062792e-05
10.456,0.0005323108605315876
10.472,0.0007805314157773695
10.488,0.001299119704597624
10.504,0.003060130257759277
10.52,0.00674463141920573
10.536,0.043055868281392795
10.552,0.08821883481717799
10.568,0.007901458827429469
10.584,0.0027153289690172305
10.6,0.0013855887878333089
10.616,0.0008529280839700964
10.632,0.0006215968400920935
10.648,0.0004029176768500227
10.664,0.0005393496979491021
10.68,0.012976582529757938
10.696,0.001073443090591185
10.712,0.00021618566297475244
10.728,9.442747890994775e-05
10.744,5.4929733204712e-05
10.76,4.17193630552816e-05
10.776,2.371295156911926e-05
10.792,7.326120702298699e-05
10.808,0.0011532545267578596
10.824,0.0002615738032766401
10.84,5.257782125260758e-05
10.856,3.069570794842435e-05
10.872,0.0007164139013073636
10.888,0.0011408253482007877
10.904,0.0022701621201123116
10.92,0.0065195703253067205
10.936,0.01909302530902948
10.952,0.9249161720624184
10.968,0.014286553089243951
10.984,0.003860918410116575
11.0,0.0017613292393527265
